"","Decade","Proportion"
"1",1900,0.0175438596491228
"2",1910,0.0789473684210526
"3",1920,0.0740740740740741
"4",1930,0.245901639344262
"5",1940,0.30952380952381
"6",1950,0.282051282051282
"7",1960,0.276315789473684
"8",1970,0.311320754716981
"9",1980,0.322916666666667
"10",1990,0.403846153846154
"11",2000,0.426470588235294
"12",2010,0.347368421052632
